MATR_ALUNO;QUADRIMESTRE
11201920806;QS 2022.1
11201920832;QS 2022.1
11201920874;QS 2022.1
11201920926;QS 2022.1
11201920934;QS 2022.1
11201920955;QS 2022.1
11201920961;QS 2022.1
11201920963;QS 2022.1
11201920992;QS 2022.1
11201921001;QS 2022.1
11201921047;QS 2022.1
11201921185;QS 2022.1
11201921224;QS 2022.1
11201921229;QS 2022.1
11201921253;QS 2022.1
11201921266;QS 2022.1
11201921283;QS 2022.1
11201921284;QS 2022.1
11201921313;QS 2022.1
11201921407;QS 2022.1
11201921414;QS 2022.1
11201921456;QS 2022.1
11201921475;QS 2022.1
11201921566;QS 2022.1
11201921661;QS 2022.1
11201921719;QS 2022.1
11201921790;QS 2022.1
11201921823;QS 2022.1
11201921866;QS 2022.1
11201921906;QS 2022.1
11201921928;QS 2022.1
11201921961;QS 2022.1
11201921987;QS 2022.1
11201922175;QS 2022.1
11201922178;QS 2022.1
11201922265;QS 2022.1
11201922304;QS 2022.1
11201922310;QS 2022.1
11201922323;QS 2022.1
11201922344;QS 2022.1
11201922383;QS 2022.1
11201922404;QS 2022.1
11201922407;QS 2022.1
11201932491;QS 2022.1
11201932495;QS 2022.1
11202020013;QS 2022.1
11202020063;QS 2022.1
11202020069;QS 2022.1
11202020098;QS 2022.1
11202020116;QS 2022.1
11202020120;QS 2022.1
11202020178;QS 2022.1
11202020291;QS 2022.1
11202020324;QS 2022.1
11202020341;QS 2022.1
11202020386;QS 2022.1
11202020430;QS 2022.1
11202020448;QS 2022.1
11202020471;QS 2022.1
11202020473;QS 2022.1
11202020594;QS 2022.1
11202020603;QS 2022.1
11202020605;QS 2022.1
11202020637;QS 2022.1
11202020666;QS 2022.1
11202020669;QS 2022.1
11202020752;QS 2022.1
11202020768;QS 2022.1
11202020770;QS 2022.1
11202020780;QS 2022.1
11202020826;QS 2022.1
11202020843;QS 2022.1
11202020874;QS 2022.1
11202020881;QS 2022.1
11202020908;QS 2022.1
11202020914;QS 2022.1
11202020940;QS 2022.1
11202020956;QS 2022.1
11202021073;QS 2022.1
11202021123;QS 2022.1
11202021148;QS 2022.1
11202021192;QS 2022.1
11202021215;QS 2022.1
11202021238;QS 2022.1
11202021251;QS 2022.1
11202021275;QS 2022.1
11202021308;QS 2022.1
11202021336;QS 2022.1
11202021361;QS 2022.1
11202021377;QS 2022.1
11202021384;QS 2022.1
11202021435;QS 2022.1
11202021440;QS 2022.1
11202021502;QS 2022.1
11202021609;QS 2022.1
11202021625;QS 2022.1
11202021647;QS 2022.1
11202021663;QS 2022.1
